execution_id,project,fault_id,baseline_tag,fault_commit,workflow,expected_detector,expected_stage,observed_detector,observed_stage,workflow_status,duration_seconds,outcome,coverage_percent,evidence_url,notes
2026-08-22-V2-SP-007-02,pyspark,V2-SP-007,baseline-ci-v2-security-rebuilt-all-20260822,7d52596,CI - ETL PySpark,pytest,Executar testes de integração,pytest,Executar testes unitários e de integração Spark,failure,97,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32603826197/job/97105881139,"Repetição isolada: a leitura JDBC da relação inexistente falhou localmente e no CI após todos os checks estáticos passarem. PR #72 fechada sem merge."
2026-08-22-V2-SP-007-01,pyspark,V2-SP-007,baseline-ci-v2-security-rebuilt-all-20260822,1e56213,CI - ETL PySpark,pytest,Executar testes de integração,Ruff format,Verificar formatação,failure,45,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32603717248/job/97105631703,"A linha inicial da mutação excedeu a formatação e Ruff bloqueou antes da integração. Detecção causal precedente; hipótese JDBC foi repetida isoladamente na PR #72."
2026-08-22-V2-SP-006-01,pyspark,V2-SP-006,baseline-ci-v2-security-rebuilt-all-20260822,3c35652,CI - ETL PySpark,pytest,Executar testes de integração,pytest,Executar testes unitários e de integração Spark,failure,84,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32603458759/job/97105035662,"A porta JDBC foi alterada de 5432 para 5433. A integração local falhou por Connection refused; a CI confirmou a falha na etapa de testes Spark após os checks estáticos passarem. PR #70 fechada sem merge."
2026-08-22-V2-SP-005-02,pyspark,V2-SP-005,baseline-ci-v2-security-rebuilt-all-20260822,e799582,CI - ETL PySpark,pytest-cov,Executar testes unitários,"CI agregou cobertura e não bloqueou",Executar testes unitários e de integração Spark,success,111,false_negative,94.58,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32603250842/job/97104550534,"Repetição causal na baseline com pip seguro. A suíte unitária local mediu 94,58%, abaixo de 95%, mas todos os 17 passos remotos passaram, inclusive testes, segurança e SBOM. A composição remota não preserva o gate unitário isolado. PR #69 fechada sem merge."
2026-08-22-V2-SP-005-01,pyspark,V2-SP-005,baseline-ci-v2-security-rebuilt-20260822,00e1cb9,CI - ETL PySpark,pytest-cov,Executar testes unitários,"pip-audit PYSEC-2026-3721",Auditar dependências,failure,110,false_positive,94.58,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32602904631/job/97103740482,"A suíte de testes remota passou e recompôs a cobertura, mas pip-audit falhou por pip 26.1.2 vulnerável, causa externa não causal. A baseline Spark foi corrigida e a mutação repetida na PR #69."
2026-08-22-V2-SP-004-01,pyspark,V2-SP-004,baseline-ci-v2-security-rebuilt-20260822,f320146,CI - ETL PySpark,pytest com Hypothesis,Executar testes unitários,pytest,Executar testes unitários e de integração Spark,failure,79,detected,95.00,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32602691577/job/97103254885,"A remoção de F.trim preservou espaços externos e dois testes unitários Spark falharam localmente; cobertura de 95%. A CI confirmou a falha após os checks estáticos. O teste determinístico também cobre a mutação, portanto a execução não isola Hypothesis como detector exclusivo. PR #67 fechada sem merge."
2026-08-22-V2-SP-003-01,pyspark,V2-SP-003,baseline-ci-v2-security-rebuilt-20260822,7b1c07b,CI - ETL PySpark,pytest,Executar testes unitários,pytest,Executar testes unitários e de integração Spark,failure,90,detected,95.00,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32602386971/job/97102546844,"A troca de F.upper por F.lower fez dois testes unitários Spark falharem localmente, com cobertura de 95%. A CI remota confirmou a falha na etapa de testes após os checks estáticos passarem. PR #66 fechada sem merge."
2026-08-22-V2-SP-002-01,pyspark,V2-SP-002,baseline-ci-v2-security-rebuilt-20260822,f663255,CI - ETL PySpark,mypy,Verificar tipos,mypy,Verificar tipos,failure,47,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32602158747/job/97101983121,"A atribuição de lista a base_dir: str foi confirmada localmente por mypy. Formatação, docstrings e lint passaram; a CI remota falhou na etapa de tipos como previsto. PR #65 fechada sem merge."
2026-08-22-V2-SP-001-01,pyspark,V2-SP-001,baseline-ci-v2-security-rebuilt-20260822,b2836cf,CI - ETL PySpark,Ruff F821,Executar lint,Ruff F821,Executar lint,failure,53,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32602009295/job/97101604549,"A referência a identificador_v2_inexistente foi confirmada localmente por Ruff F821. Formatação e docstrings passaram; a CI remota falhou na etapa de lint como previsto. PR #64 fechada sem merge."
2026-08-22-V2-PY-014-01,python,V2-PY-014,baseline-ci-v2,98fdca9,CI - ETL Python,pytest,Executar testes de integração,"pip-audit PYSEC-2026-3721",Auditar dependências,failure,63,false_positive,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32600070107/job/97096899135,"A confirmação independente executou ensure_base_structure duas vezes e a segunda falhou. A suíte de integração local passou por não cobrir reexecução. A CI remota falhou depois por pip 26.1.2 vulnerável (PYSEC-2026-3721), causa externa e não causal; PR #61 fechada sem merge."
